iter	Passed	Remaining
737	1971	699
738	1988	702
739	1990	699
740	1992	696
741	1994	693
742	1996	690
743	1998	687
744	2000	684
745	2002	681
746	2005	679
747	2006	676
748	2008	673
749	2010	670
750	2012	667
751	2014	664
752	2016	661
753	2019	658
754	2021	655
755	2023	653
756	2025	650
757	2027	647
758	2029	644
759	2031	641
760	2033	638
761	2035	635
762	2038	633
763	2040	630
764	2042	627
765	2044	624
766	2046	621
767	2048	618
768	2050	615
769	2053	613
770	2055	610
771	2057	607
772	2059	604
773	2061	601
774	2063	599
775	2065	596
776	2068	593
777	2070	590
778	2072	587
779	2074	585
780	2076	582
781	2078	579
782	2080	576
783	2082	573
784	2084	570
785	2086	568
786	2088	565
787	2090	562
788	2092	559
789	2095	556
790	2097	554
791	2099	551
792	2101	548
793	2103	545
794	2105	542
795	2107	540
796	2109	537
797	2111	534
798	2113	531
799	2116	529
800	2117	526
801	2120	523
802	2121	520
803	2123	517
804	2125	514
805	2127	512
806	2130	509
807	2132	506
808	2134	503
809	2136	501
810	2138	498
811	2140	495
812	2142	492
813	2144	490
814	2147	487
815	2150	484
816	2152	482
817	2154	479
818	2156	476
819	2158	473
820	2160	470
821	2162	468
822	2164	465
823	2166	462
824	2168	460
825	2170	457
826	2172	454
827	2174	451
828	2176	449
829	2179	446
830	2181	443
831	2183	440
832	2185	438
833	2187	435
834	2189	432
835	2191	429
836	2193	427
837	2196	424
838	2198	421
839	2201	419
840	2203	416
841	2205	413
842	2207	411
843	2209	408
844	2212	405
845	2214	403
846	2216	400
847	2218	397
848	2220	394
849	2222	392
850	2224	389
851	2227	386
852	2229	384
853	2231	381
854	2233	378
855	2235	376
856	2238	373
857	2239	370
858	2242	368
859	2245	365
860	2247	362
861	2249	360
862	2251	357
863	2253	354
864	2256	352
865	2295	355
866	2304	353
867	2314	352
868	2323	350
869	2332	348
870	2338	346
871	2344	344
872	2348	341
873	2351	339
874	2355	336
875	2358	333
876	2361	331
877	2364	328
878	2366	325
879	2369	323
880	2371	320
881	2374	317
882	2376	314
883	2378	312
884	2380	309
885	2382	306
886	2384	303
887	2387	301
888	2389	298
889	2391	295
890	2393	292
891	2395	290
892	2397	287
893	2399	284
894	2401	281
895	2404	279
896	2406	276
897	2408	273
898	2410	270
899	2412	268
900	2414	265
901	2416	262
902	2419	259
903	2421	257
904	2423	254
905	2425	251
906	2426	248
907	2428	246
908	2430	243
909	2433	240
910	2435	237
911	2438	235
912	2440	232
913	2442	229
914	2444	227
915	2446	224
916	2448	221
917	2451	218
918	2453	216
919	2455	213
920	2457	210
921	2459	208
922	2461	205
923	2463	202
924	2465	199
925	2468	197
926	2470	194
927	2472	191
928	2474	189
929	2476	186
930	2478	183
931	2480	180
932	2483	178
933	2485	175
934	2487	172
935	2489	170
936	2491	167
937	2493	164
938	2495	162
939	2497	159
940	2499	156
941	2501	154
942	2503	151
943	2505	148
944	2508	145
945	2510	143
946	2512	140
947	2514	137
948	2516	135
949	2518	132
950	2520	129
951	2523	127
952	2525	124
953	2527	121
954	2529	119
955	2531	116
956	2533	113
957	2535	111
958	2537	108
959	2539	105
960	2542	103
961	2543	100
962	2546	97
963	2548	95
964	2550	92
965	2552	89
966	2554	87
967	2556	84
968	2558	81
969	2560	79
970	2563	76
971	2565	73
972	2567	71
973	2569	68
974	2571	65
975	2573	63
976	2575	60
977	2577	57
978	2579	55
979	2582	52
980	2584	50
981	2586	47
982	2587	44
983	2590	42
984	2592	39
985	2594	36
986	2596	34
987	2598	31
988	2600	28
989	2602	26
990	2604	23
991	2606	21
992	2608	18
993	2610	15
994	2613	13
995	2615	10
996	2617	7
997	2619	5
998	2621	2
999	2623	0
